image_path,source,source_group,group,is_malignant,is_melanoma,pooled,loso_atlas,loso_stanford
/home/abhinav-pathak/dermasense/data/raw/ddi/images/000314.png,ddi,stanford,ddi_image_000314,False,False,train,train,test
/home/abhinav-pathak/dermasense/data/raw/ddi/images/000264.png,ddi,stanford,ddi_image_000264,False,False,train,train,test
/home/abhinav-pathak/dermasense/data/raw/ddi/images/000403.png,ddi,stanford,ddi_image_000403,False,False,train,train,test
/home/abhinav-pathak/dermasense/data/raw/ddi/images/000336.png,ddi,stanford,ddi_image_000336,False,False,train,train,test
/home/abhinav-pathak/dermasense/data/raw/ddi/images/000005.png,ddi,stanford,ddi_image_000005,True,False,val,train,test
/home/abhinav-pathak/dermasense/data/raw/ddi/images/000289.png,ddi,stanford,ddi_image_000289,True,False,test,train,test
/home/abhinav-pathak/dermasense/data/raw/ddi/images/000292.png,ddi,stanford,ddi_image_000292,True,False,train,train,test
/home/abhinav-pathak/dermasense/data/raw/ddi/images/000290.png,ddi,stanford,ddi_image_000290,True,False,train,train,test
/home/abhinav-pathak/dermasense/data/raw/ddi/images/000293.png,ddi,stanford,ddi_image_000293,True,False,val,train,test
/home/abhinav-pathak/dermasense/data/raw/ddi/images/000291.png,ddi,stanford,ddi_image_000291,True,False,train,train,test
/home/abhinav-pathak/dermasense/data/raw/ddi/images/000037.png,ddi,stanford,ddi_image_000037,True,False,test,train,test
/home/abhinav-pathak/dermasense/data/raw/ddi/images/000406.png,ddi,stanford,ddi_image_000406,True,False,train,train,test
/home/abhinav-pathak/dermasense/data/raw/ddi/images/000073.png,ddi,stanford,ddi_image_000073,True,False,test,train,test
/home/abhinav-pathak/dermasense/data/raw/ddi/images/000440.png,ddi,stanford,ddi_image_000440,True,False,train,train,test
/home/abhinav-pathak/dermasense/data/raw/ddi/images/000407.png,ddi,stanford,ddi_image_000407,True,False,train,train,test
/home/abhinav-pathak/dermasense/data/raw/ddi/images/000071.png,ddi,stanford,ddi_image_000071,True,False,train,train,test
/home/abhinav-pathak/dermasense/data/raw/ddi/images/000405.png,ddi,stanford,ddi_image_000405,True,False,train,val,test
/home/abhinav-pathak/dermasense/data/raw/ddi/images/000072.png,ddi,stanford,ddi_image_000072,True,False,train,train,test
/home/abhinav-pathak/dermasense/data/raw/ddi/images/000398.png,ddi,stanford,ddi_image_000398,False,False,train,val,test
/home/abhinav-pathak/dermasense/data/raw/ddi/images/000402.png,ddi,stanford,ddi_image_000402,False,False,train,train,test
/home/abhinav-pathak/dermasense/data/raw/ddi/images/000335.png,ddi,stanford,ddi_image_000335,False,False,train,val,test
/home/abhinav-pathak/dermasense/data/raw/ddi/images/000392.png,ddi,stanford,ddi_image_000392,False,False,test,train,test
/home/abhinav-pathak/dermasense/data/raw/ddi/images/000420.png,ddi,stanford,ddi_image_000420,False,False,train,train,test
/home/abhinav-pathak/dermasense/data/raw/ddi/images/000393.png,ddi,stanford,ddi_image_000393,False,False,test,train,test
/home/abhinav-pathak/dermasense/data/raw/ddi/images/000423.png,ddi,stanford,ddi_image_000423,False,False,train,train,test
/home/abhinav-pathak/dermasense/data/raw/ddi/images/000404.png,ddi,stanford,ddi_image_000404,False,False,train,val,test
/home/abhinav-pathak/dermasense/data/raw/ddi/images/000265.png,ddi,stanford,ddi_image_000265,False,False,train,train,test
/home/abhinav-pathak/dermasense/data/raw/ddi/images/000391.png,ddi,stanford,ddi_image_000391,False,False,val,train,test
/home/abhinav-pathak/dermasense/data/raw/ddi/images/000389.png,ddi,stanford,ddi_image_000389,False,False,train,train,test
/home/abhinav-pathak/dermasense/data/raw/ddi/images/000390.png,ddi,stanford,ddi_image_000390,False,False,train,train,test
/home/abhinav-pathak/dermasense/data/raw/ddi/images/000430.png,ddi,stanford,ddi_image_000430,False,False,train,val,test
/home/abhinav-pathak/dermasense/data/raw/ddi/images/000327.png,ddi,stanford,ddi_image_000327,False,False,val,val,test
/home/abhinav-pathak/dermasense/data/raw/ddi/images/000412.png,ddi,stanford,ddi_image_000412,False,False,train,val,test
/home/abhinav-pathak/dermasense/data/raw/ddi/images/000326.png,ddi,stanford,ddi_image_000326,False,False,train,train,test
/home/abhinav-pathak/dermasense/data/raw/ddi/images/000361.png,ddi,stanford,ddi_image_000361,False,False,val,train,test
/home/abhinav-pathak/dermasense/data/raw/ddi/images/000319.png,ddi,stanford,ddi_image_000319,False,False,test,train,test
/home/abhinav-pathak/dermasense/data/raw/ddi/images/000414.png,ddi,stanford,ddi_image_000414,False,False,val,train,test
/home/abhinav-pathak/dermasense/data/raw/ddi/images/000413.png,ddi,stanford,ddi_image_000413,False,False,train,train,test
/home/abhinav-pathak/dermasense/data/raw/ddi/images/000411.png,ddi,stanford,ddi_image_000411,False,False,train,train,test
/home/abhinav-pathak/dermasense/data/raw/ddi/images/000325.png,ddi,stanford,ddi_image_000325,False,False,val,train,test
/home/abhinav-pathak/dermasense/data/raw/ddi/images/000431.png,ddi,stanford,ddi_image_000431,False,False,train,train,test
/home/abhinav-pathak/dermasense/data/raw/ddi/images/000252.png,ddi,stanford,ddi_image_000252,False,False,train,train,test
/home/abhinav-pathak/dermasense/data/raw/ddi/images/000428.png,ddi,stanford,ddi_image_000428,False,False,train,train,test
/home/abhinav-pathak/dermasense/data/raw/ddi/images/000356.png,ddi,stanford,ddi_image_000356,False,False,test,train,test
/home/abhinav-pathak/dermasense/data/raw/ddi/images/000360.png,ddi,stanford,ddi_image_000360,False,False,train,val,test
/home/abhinav-pathak/dermasense/data/raw/ddi/images/000365.png,ddi,stanford,ddi_image_000365,False,False,train,train,test
/home/abhinav-pathak/dermasense/data/raw/ddi/images/000384.png,ddi,stanford,ddi_image_000384,False,False,val,train,test
/home/abhinav-pathak/dermasense/data/raw/ddi/images/000383.png,ddi,stanford,ddi_image_000383,False,False,train,train,test
/home/abhinav-pathak/dermasense/data/raw/ddi/images/000387.png,ddi,stanford,ddi_image_000387,True,False,train,train,test
/home/abhinav-pathak/dermasense/data/raw/ddi/images/000388.png,ddi,stanford,ddi_image_000388,True,False,train,train,test
/home/abhinav-pathak/dermasense/data/raw/ddi/images/000386.png,ddi,stanford,ddi_image_000386,True,False,val,train,test
/home/abhinav-pathak/dermasense/data/raw/ddi/images/000122.png,ddi,stanford,ddi_image_000122,False,False,test,train,test
/home/abhinav-pathak/dermasense/data/raw/ddi/images/000123.png,ddi,stanford,ddi_image_000123,False,False,train,train,test
/home/abhinav-pathak/dermasense/data/raw/ddi/images/000315.png,ddi,stanford,ddi_image_000315,False,False,train,val,test
/home/abhinav-pathak/dermasense/data/raw/ddi/images/000277.png,ddi,stanford,ddi_image_000277,False,False,train,train,test
/home/abhinav-pathak/dermasense/data/raw/ddi/images/000051.png,ddi,stanford,ddi_image_000051,False,False,train,val,test
/home/abhinav-pathak/dermasense/data/raw/ddi/images/000328.png,ddi,stanford,ddi_image_000328,False,False,val,val,test
/home/abhinav-pathak/dermasense/data/raw/ddi/images/000439.png,ddi,stanford,ddi_image_000439,False,False,train,train,test
/home/abhinav-pathak/dermasense/data/raw/ddi/images/000310.png,ddi,stanford,ddi_image_000310,False,False,train,train,test
/home/abhinav-pathak/dermasense/data/raw/ddi/images/000273.png,ddi,stanford,ddi_image_000273,False,False,train,train,test
/home/abhinav-pathak/dermasense/data/raw/ddi/images/000305.png,ddi,stanford,ddi_image_000305,False,False,train,train,test
/home/abhinav-pathak/dermasense/data/raw/ddi/images/000323.png,ddi,stanford,ddi_image_000323,False,False,train,val,test
/home/abhinav-pathak/dermasense/data/raw/ddi/images/000275.png,ddi,stanford,ddi_image_000275,False,False,val,val,test
/home/abhinav-pathak/dermasense/data/raw/ddi/images/000046.png,ddi,stanford,ddi_image_000046,False,False,train,train,test
/home/abhinav-pathak/dermasense/data/raw/ddi/images/000278.png,ddi,stanford,ddi_image_000278,False,False,val,train,test
/home/abhinav-pathak/dermasense/data/raw/ddi/images/000280.png,ddi,stanford,ddi_image_000280,False,False,train,train,test
/home/abhinav-pathak/dermasense/data/raw/ddi/images/000042.png,ddi,stanford,ddi_image_000042,False,False,train,val,test
/home/abhinav-pathak/dermasense/data/raw/ddi/images/000281.png,ddi,stanford,ddi_image_000281,False,False,val,val,test
/home/abhinav-pathak/dermasense/data/raw/ddi/images/000288.png,ddi,stanford,ddi_image_000288,False,False,train,val,test
/home/abhinav-pathak/dermasense/data/raw/ddi/images/000322.png,ddi,stanford,ddi_image_000322,False,False,train,val,test
/home/abhinav-pathak/dermasense/data/raw/ddi/images/000047.png,ddi,stanford,ddi_image_000047,False,False,val,train,test
/home/abhinav-pathak/dermasense/data/raw/ddi/images/000283.png,ddi,stanford,ddi_image_000283,False,False,train,train,test
/home/abhinav-pathak/dermasense/data/raw/ddi/images/000438.png,ddi,stanford,ddi_image_000438,False,False,train,train,test
/home/abhinav-pathak/dermasense/data/raw/ddi/images/000279.png,ddi,stanford,ddi_image_000279,False,False,val,val,test
/home/abhinav-pathak/dermasense/data/raw/ddi/images/000318.png,ddi,stanford,ddi_image_000318,False,False,train,train,test
/home/abhinav-pathak/dermasense/data/raw/ddi/images/000271.png,ddi,stanford,ddi_image_000271,False,False,test,train,test
/home/abhinav-pathak/dermasense/data/raw/ddi/images/000307.png,ddi,stanford,ddi_image_000307,False,False,test,train,test
/home/abhinav-pathak/dermasense/data/raw/ddi/images/000285.png,ddi,stanford,ddi_image_000285,False,False,train,train,test
/home/abhinav-pathak/dermasense/data/raw/ddi/images/000048.png,ddi,stanford,ddi_image_000048,False,False,val,train,test
/home/abhinav-pathak/dermasense/data/raw/ddi/images/000320.png,ddi,stanford,ddi_image_000320,False,False,train,train,test
