split,image_id,area_fraction,overlaps_isic2019
train,ISIC_0000000,0.46973238045910437,True
train,ISIC_0000001,0.07050367788700736,True
train,ISIC_0000003,0.3365693976327828,True
train,ISIC_0000004,0.3449738095663334,True
train,ISIC_0000006,0.09172264930333192,True
train,ISIC_0000007,0.08805879516350842,True
train,ISIC_0000008,0.33748408545250896,True
train,ISIC_0000009,0.2313790226490482,True
train,ISIC_0000011,0.18024708052569674,True
train,ISIC_0000012,0.0503218629524643,True
train,ISIC_0000013,0.2757675340679752,True
train,ISIC_0000014,0.28055784475566226,True
train,ISIC_0000015,0.2277419585290493,True
train,ISIC_0000016,0.20810104685191752,True
train,ISIC_0000017,0.15428888773721802,False
train,ISIC_0000018,0.23557198518741873,False
train,ISIC_0000019,0.32150698226636265,False
train,ISIC_0000020,0.239541912443699,False
train,ISIC_0000021,0.25398288355351184,False
train,ISIC_0000022,0.40905091589242976,False
train,ISIC_0000023,0.17712495053050148,False
train,ISIC_0000024,0.33282313005295594,False
train,ISIC_0000025,0.1961406724082694,False
train,ISIC_0000026,0.5335939119537154,False
train,ISIC_0000027,0.19029797127942258,False
train,ISIC_0000028,0.24007606524320146,False
train,ISIC_0000029,0.3876859817575335,False
train,ISIC_0000030,0.49775559598252567,False
train,ISIC_0000031,0.32612001300341104,False
train,ISIC_0000035,0.4655362493639636,False
train,ISIC_0000036,0.3923155023274221,False
train,ISIC_0000037,0.4297815803855794,False
train,ISIC_0000038,0.5224461960311328,False
train,ISIC_0000039,0.22121228539660404,False
train,ISIC_0000040,0.2685840416109153,False
train,ISIC_0000041,0.06928262160073874,False
train,ISIC_0000042,0.33521651150519194,False
train,ISIC_0000043,0.4100002591259446,False
train,ISIC_0000044,0.5100511420387087,False
train,ISIC_0000045,0.32183147861975386,False
train,ISIC_0000046,0.3805947647136423,False
train,ISIC_0000049,0.655867789231668,False
train,ISIC_0000050,0.28205387935096016,False
train,ISIC_0000051,0.2873111914139796,False
train,ISIC_0000054,0.21147975048527223,False
train,ISIC_0000056,0.4973262913894804,False
train,ISIC_0000057,0.19623961140531068,False
train,ISIC_0000058,0.47335949720143977,False
train,ISIC_0000059,0.42730928330475093,False
train,ISIC_0000062,0.0821264346154571,False
train,ISIC_0000063,0.43302065469347756,False
train,ISIC_0000064,0.3378360392363794,False
train,ISIC_0000065,0.2574257250815069,False
train,ISIC_0000066,0.5062888373137681,True
train,ISIC_0000067,0.2761790130211183,True
train,ISIC_0000068,0.36380664704764426,True
train,ISIC_0000069,0.13102105695558214,True
train,ISIC_0000071,0.09008973380926016,True
train,ISIC_0000073,0.343955788812998,True
train,ISIC_0000077,0.41464921414168066,False
train,ISIC_0000078,0.11222214631664248,False
train,ISIC_0000080,0.18533323489813544,False
train,ISIC_0000081,0.1140899658203125,False
train,ISIC_0000085,0.12877559661865234,False
train,ISIC_0000086,0.2349634281486562,False
train,ISIC_0000087,0.38705889383951825,False
train,ISIC_0000088,0.220306396484375,False
train,ISIC_0000089,0.12315845489501953,False
train,ISIC_0000091,0.13789685567220053,False
train,ISIC_0000092,0.08748308817545573,False
train,ISIC_0000093,0.10937086741129558,False
train,ISIC_0000094,0.059680938720703125,False
train,ISIC_0000095,0.0778656005859375,False
train,ISIC_0000096,0.2753582000732422,False
train,ISIC_0000097,0.243467648824056,False
train,ISIC_0000098,0.022532145182291668,False
train,ISIC_0000099,0.39893849690755206,False
train,ISIC_0000100,0.3857860336904053,False
