image_id,dice,iou
ISIC_0000052,0.9828190803527832,0.9662186503410339
ISIC_0000053,0.9328908920288086,0.8742230534553528
ISIC_0000074,0.8498777151107788,0.7389468550682068
ISIC_0000075,0.9822136759757996,0.965049147605896
ISIC_0000079,0.8752704858779907,0.7782108783721924
ISIC_0000082,0.9667222499847412,0.9355884194374084
ISIC_0000102,0.6973702907562256,0.5353725552558899
ISIC_0000105,0.9590604305267334,0.9213431477546692
ISIC_0000137,0.9612462520599365,0.9253847002983093
ISIC_0000148,0.8969520330429077,0.8131598234176636
ISIC_0000155,0.9825897812843323,0.9657756090164185
ISIC_0000164,0.8889459371566772,0.800093412399292
ISIC_0000173,0.8134934306144714,0.6856218576431274
ISIC_0000182,0.961007833480835,0.9249428510665894
ISIC_0000187,0.9360439777374268,0.879777193069458
ISIC_0000192,0.9077686071395874,0.8311144113540649
ISIC_0000196,0.9422979950904846,0.8908923864364624
ISIC_0000200,0.8817067742347717,0.7884412407875061
ISIC_0000215,0.9348719120025635,0.8777087330818176
ISIC_0000217,0.9712061882019043,0.9440242648124695
ISIC_0000231,0.9868247509002686,0.9739923477172852
ISIC_0000232,0.9832115173339844,0.9669777750968933
ISIC_0000242,0.958187997341156,0.9197325706481934
ISIC_0000256,0.8980392813682556,0.814950704574585
ISIC_0000263,0.9717077016830444,0.9449726939201355
ISIC_0000265,0.9201154708862305,0.8520510196685791
ISIC_0000277,0.8542436361312866,0.7455728650093079
ISIC_0000290,0.9293333888053894,0.8679959177970886
ISIC_0000294,0.8220440149307251,0.6978570818901062
ISIC_0000297,0.9604312777519226,0.9238758683204651
ISIC_0000299,0.9439865946769714,0.8939156532287598
ISIC_0000337,0.9257264733314514,0.8617237210273743
ISIC_0000366,0.953403115272522,0.9109578132629395
ISIC_0000370,0.9654749631881714,0.933254599571228
ISIC_0000377,0.9448948502540588,0.8955466747283936
ISIC_0000387,0.9347742795944214,0.8775384426116943
ISIC_0000413,0.7681262493133545,0.623544454574585
ISIC_0000421,0.9546100497245789,0.9131626486778259
ISIC_0000449,0.9650150537490845,0.9323989152908325
ISIC_0000479,0.8120453953742981,0.6835670471191406
ISIC_0000485,0.8579581379890442,0.7512500882148743
ISIC_0000494,0.9015309810638428,0.8207182884216309
ISIC_0000515,0.8904407024383545,0.8025182485580444
ISIC_0000518,0.9111362099647522,0.836778461933136
ISIC_0000529,0.8987258076667786,0.8160788416862488
ISIC_0000530,0.8843206763267517,0.7926314473152161
ISIC_0000535,0.9512929916381836,0.9071111083030701
ISIC_0000540,0.9702685475349426,0.9422542452812195
ISIC_0000542,0.9659196734428406,0.9340859651565552
ISIC_0000556,0.9189147353172302,0.8499933481216431
ISIC_0001103,0.9489700198173523,0.9028961658477783
ISIC_0001181,0.8990575075149536,0.8166349530220032
ISIC_0001185,0.856971263885498,0.7497487664222717
ISIC_0001204,0.6453006863594055,0.47635239362716675
ISIC_0001212,0.6571918725967407,0.4894252121448517
ISIC_0001286,0.9116958379745483,0.8377258777618408
ISIC_0001299,0.9454628229141235,0.896569550037384
ISIC_0001449,0.9499369859695435,0.904650866985321
ISIC_0002353,0.9339633584022522,0.8761115670204163
ISIC_0002439,0.90578293800354,0.8277940154075623
ISIC_0002453,0.961374819278717,0.9256247282028198
ISIC_0002489,0.913271963596344,0.8403899073600769
ISIC_0002616,0.8116359114646912,0.68300461769104
ISIC_0002673,0.8803971409797668,0.7863549590110779
ISIC_0005548,0.9618610739707947,0.9265255928039551
ISIC_0005555,0.89728844165802,0.8137153387069702
ISIC_0005639,0.8215551376342773,0.6971546411514282
ISIC_0005666,0.9459704160690308,0.8974822759628296
ISIC_0006193,0.9147154092788696,0.8428394794464111
ISIC_0006914,0.8904794454574585,0.8025836944580078
ISIC_0007693,0.9683202505111694,0.9385882019996643
ISIC_0008145,0.9225442409515381,0.8562342524528503
ISIC_0008256,0.9698969125747681,0.9415557384490967
ISIC_0008524,0.9056509137153625,0.8275817036628723
ISIC_0008600,0.9661409854888916,0.9345005750656128
ISIC_0009874,0.9381684064865112,0.8835394978523254
ISIC_0009880,0.8471145629882812,0.7347798347473145
ISIC_0009895,0.8965433835983276,0.8124876618385315
ISIC_0009923,0.908115804195404,0.8316969871520996
ISIC_0010010,0.9340609908103943,0.8762817978858948
ISIC_0010018,0.9679338932037354,0.9378611445426941
ISIC_0010019,0.9735268354415894,0.948419451713562
ISIC_0010024,0.4633300304412842,0.30152463912963867
ISIC_0010032,0.8567275404930115,0.7493671178817749
ISIC_0010036,0.9427132606506348,0.8916348814964294
ISIC_0010043,0.8918836116790771,0.8048656582832336
ISIC_0010059,0.8919224739074707,0.8049324154853821
ISIC_0010060,0.6832596063613892,0.5189192891120911
ISIC_0010089,0.9761531949043274,0.9534185528755188
ISIC_0010090,0.9445365071296692,0.894906222820282
ISIC_0010180,0.7762255072593689,0.634292721748352
ISIC_0010192,0.9683002829551697,0.9385491609573364
ISIC_0010238,0.9287970066070557,0.8670604825019836
ISIC_0010239,0.7907492518424988,0.6539175510406494
ISIC_0010326,0.8178730010986328,0.6918672919273376
ISIC_0010370,0.05180055648088455,0.026594150811433792
ISIC_0010456,0.8680298924446106,0.7668411731719971
ISIC_0010465,0.9653076529502869,0.9329423904418945
ISIC_0010473,0.9616092443466187,0.9260574579238892
ISIC_0010475,0.9184718132019043,0.849236786365509
ISIC_0010481,0.9674326777458191,0.9369206428527832
ISIC_0010558,0.9703788757324219,0.9424623250961304
ISIC_0010593,0.7801392674446106,0.6395397186279297
ISIC_0010846,0.5784710645675659,0.40693795680999756
ISIC_0010863,0.9509410262107849,0.9064708352088928
ISIC_0011110,0.9244624972343445,0.8595370650291443
ISIC_0011118,0.9489848017692566,0.9029232263565063
ISIC_0011139,0.7529085874557495,0.6037337183952332
ISIC_0011150,0.9440862536430359,0.894095778465271
ISIC_0011171,0.9176803827285767,0.8478857278823853
