image_id,image_path,mask_path,height,width,area_pixels,area_fraction,bbox_x_min,bbox_y_min,bbox_x_max,bbox_y_max,bbox_width,bbox_height,bbox_area_fraction,bbox_aspect_ratio,touches_border,touches_left,touches_right,touches_top,touches_bottom,component_count,largest_component_fraction
ISIC_0000000,data/raw/isic2018/images/ISIC2018_Task1-2_Training_Input/ISIC_0000000.jpg,data/raw/isic2018/masks/ISIC2018_Task1_Training_GroundTruth/ISIC_0000000_segmentation.png,767,1022,368211,0.46973238045910437,49,46,900,635,852,590,0.6412765316874905,1.4440677966101696,False,False,False,False,False,1,1.0
ISIC_0000001,data/raw/isic2018/images/ISIC2018_Task1-2_Training_Input/ISIC_0000001.jpg,data/raw/isic2018/masks/ISIC2018_Task1_Training_GroundTruth/ISIC_0000001_segmentation.png,767,1022,55266,0.07050367788700736,351,229,649,482,299,254,0.09688546883810409,1.1771653543307086,False,False,False,False,False,1,1.0
ISIC_0000003,data/raw/isic2018/images/ISIC2018_Task1-2_Training_Input/ISIC_0000003.jpg,data/raw/isic2018/masks/ISIC2018_Task1_Training_GroundTruth/ISIC_0000003_segmentation.png,767,1022,263828,0.3365693976327828,251,49,849,700,599,652,0.4982280315458862,0.9187116564417178,False,False,False,False,False,1,1.0
ISIC_0000004,data/raw/isic2018/images/ISIC2018_Task1-2_Training_Input/ISIC_0000004.jpg,data/raw/isic2018/masks/ISIC2018_Task1_Training_GroundTruth/ISIC_0000004_segmentation.png,767,1022,270416,0.3449738095663334,181,57,719,718,539,662,0.45519815684663606,0.8141993957703928,False,False,False,False,False,1,1.0
ISIC_0000006,data/raw/isic2018/images/ISIC2018_Task1-2_Training_Input/ISIC_0000006.jpg,data/raw/isic2018/masks/ISIC2018_Task1_Training_GroundTruth/ISIC_0000006_segmentation.png,767,1022,71899,0.09172264930333192,333,191,625,540,293,350,0.13082459681020164,0.8371428571428572,False,False,False,False,False,1,1.0
ISIC_0000007,data/raw/isic2018/images/ISIC2018_Task1-2_Training_Input/ISIC_0000007.jpg,data/raw/isic2018/masks/ISIC2018_Task1_Training_GroundTruth/ISIC_0000007_segmentation.png,767,1022,69027,0.08805879516350842,345,233,691,532,347,300,0.13280195541630416,1.1566666666666667,False,False,False,False,False,1,1.0
ISIC_0000008,data/raw/isic2018/images/ISIC2018_Task1-2_Training_Input/ISIC_0000008.jpg,data/raw/isic2018/masks/ISIC2018_Task1_Training_GroundTruth/ISIC_0000008_segmentation.png,767,1022,264545,0.33748408545250896,199,83,807,716,609,634,0.49256130449536534,0.9605678233438486,False,False,False,False,False,1,1.0
ISIC_0000009,data/raw/isic2018/images/ISIC2018_Task1-2_Training_Input/ISIC_0000009.jpg,data/raw/isic2018/masks/ISIC2018_Task1_Training_GroundTruth/ISIC_0000009_segmentation.png,767,1022,181372,0.2313790226490482,183,153,733,630,551,478,0.3359953257793982,1.1527196652719665,False,False,False,False,False,1,1.0
ISIC_0000011,data/raw/isic2018/images/ISIC2018_Task1-2_Training_Input/ISIC_0000011.jpg,data/raw/isic2018/masks/ISIC2018_Task1_Training_GroundTruth/ISIC_0000011_segmentation.png,767,1022,141291,0.18024708052569674,243,151,753,576,511,426,0.2777053455019557,1.199530516431925,False,False,False,False,False,1,1.0
ISIC_0000012,data/raw/isic2018/images/ISIC2018_Task1-2_Training_Input/ISIC_0000012.jpg,data/raw/isic2018/masks/ISIC2018_Task1_Training_GroundTruth/ISIC_0000012_segmentation.png,767,1022,39446,0.0503218629524643,372,279,621,518,250,240,0.07654291378461334,1.0416666666666667,False,False,False,False,False,1,1.0
ISIC_0000013,data/raw/isic2018/images/ISIC2018_Task1-2_Training_Input/ISIC_0000013.jpg,data/raw/isic2018/masks/ISIC2018_Task1_Training_GroundTruth/ISIC_0000013_segmentation.png,767,1022,216167,0.2757675340679752,198,122,789,637,592,516,0.38969528266022346,1.1472868217054264,False,False,False,False,False,1,1.0
